card_name,description,location,style
Captain Blacktide,a fearsome pirate captain with a cursed compass and a parrot on her shoulder,on the deck of a burning galleon at sunset,Golden Age illustration
The Kraken's Maw,a massive tentacled sea monster emerging from a whirlpool,in a stormy open ocean under lightning-filled skies,Dark maritime painting
Smuggler's Cove,a hidden bay with caves full of stolen treasure and rowboats,along a tropical coastline with dense jungle cliffs,Watercolor map art
Cannon Barrage,pirates firing a broadside volley at a royal navy frigate,in a narrow strait between two rocky islands,Action comic book style
Cursed Doubloon,a glowing gold coin with a skull imprint hovering above skeletal hands,in a candlelit treasure vault deep underground,Dark fantasy illustration
First Mate Rook,a scarred one-eyed sailor wielding twin cutlasses and grinning menacingly,on a fog-covered dock at midnight,Noir ink drawing
The Ghost Ship,a translucent spectral galleon with tattered sails and ghostly crew,drifting through a moonlit graveyard of shipwrecks,Ethereal digital painting
Rum Rations,barrels of rum being shared among rowdy pirates around a bonfire,on a sandy beach with palm trees and a starry sky,Warm tavern illustration
Treasure Map,a weathered parchment map with X marks and sea monster doodles,spread across a wooden table with a compass and dagger,Vintage cartography style
Mutiny at Dawn,crew members turning against their captain with drawn swords on deck,aboard a battered ship as the sun rises blood-red,Dramatic oil painting
Mermaid's Song,a beautiful mermaid sitting on rocks luring sailors with an enchanting melody,at the base of a lighthouse on a rocky coastline,Pre-Raphaelite painting
The Powder Monkey,a young scrappy pirate loading cannons during a fierce naval battle,below deck of a warship with smoke and chaos,Gritty historical realism
Port Havana,a bustling Caribbean port town with colorful buildings and merchant ships,along a sun-drenched harbor with market stalls,Vibrant travel poster art
Dead Man's Hand,a skeletal pirate playing cards with living sailors at a candlelit table,in a dimly lit below-deck gambling den,Caravaggio chiaroscuro
The Stowaway,a young woman hiding behind cargo barrels clutching a stolen jewel,in the dark cargo hold of a merchant vessel,Storybook illustration
Boarding Party,pirates swinging on ropes from one ship to another mid-battle,between two ships locked together with grappling hooks,Dynamic action illustration
The Navigator,an old weathered sailor studying the stars with brass instruments,on the quarterdeck of a ship under a vast night sky,Astronomical art style
Shipwreck Bay,the remains of dozens of wrecked ships half-buried in sand,on a desolate island shore with circling seabirds,Melancholic landscape painting
The Privateer's Letter,a captain reading a royal letter of marque by lantern light,in a richly decorated captain's cabin,Dutch Golden Age still life
Voodoo Priestess,a mysterious woman with face paint performing a ritual over a cauldron,in a swamp shack surrounded by hanging talismans and candles,Folk art illustration
